helmetTouched,fsrValue,buckled
1,1277,1
1,1272,1
1,1132,1
1,1192,1
1,1197,1
1,1256,1
1,1228,1
1,1294,1
1,1255,1
1,1259,1
1,1261,1
1,1274,1
1,1304,1
1,1305,1
1,1291,1
1,1290,1
1,1288,1
1,1320,1
1,1256,1
1,1228,1
1,1308,1
1,1306,1
1,1355,1
1,1357,1
1,1386,1
1,1372,1
1,1086,1
1,1304,1
1,1353,1
1,1404,1
1,1308,1
1,1325,1
1,1327,1
1,1324,1
1,1306,1
1,1341,1
1,1274,1
1,1278,1
1,1323,1
1,1320,1
1,1310,1
1,1338,1
1,1320,1
1,1310,1
1,1338,1
1,1369,1
1,1375,1
1,983,1
1,1328,1
1,1324,1
1,1320,1
1,1353,1
1,1323,1
1,1341,1
1,1341,1
1,1357,1
1,1372,1
1,1325,1
1,1342,1
1,1326,1
1,1325,1
1,1325,1
1,1342,1
1,1326,1
1,1325,1
1,1336,1
1,1325,1
1,1351,1
1,1304,1
1,1353,1
1,1325,1
1,1339,1
1,1324,1
1,1288,1
1,1323,1
1,1385,1
1,1352,1
1,1352,1
1,1328,1
1,1323,1
1,1360,1
1,1319,1
1,1323,1
1,1360,1
1,1319,1
1,1353,1
1,1289,1
1,1339,1
1,1304,1
1,1293,1
1,1311,1
1,1309,1
1,1210,1
1,1261,1
1,1303,1
1,1324,1
1,1304,1
1,1292,1
1,1309,1
1,1305,1
1,1310,1
1,1213,1
1,1328,1
1,1257,1
1,1293,1
1,1293,1
1,1293,1
1,1152,1
1,1191,1
1,1241,1
1,1258,1
1,1245,1
1,1198,1
1,1210,1
1,1278,1
1,1292,1
1,1275,1
1,1167,1
1,1113,1
1,1001,1
1,986,1
